trade_date,open,high,low,close,volume,amount,average_price
20200812,3.87,3.97,3.84,3.87,71720.13,27889.795,3.889
20200813,3.89,3.91,3.85,3.86,71720.0,27823.111,3.879
20200814,3.85,3.86,3.82,3.84,51309.02,19703.533,3.84
20200817,3.85,3.9,3.84,3.87,58735.57,22753.015,3.874
20200818,3.9,3.92,3.86,3.86,75734.02,29414.131,3.884
20200819,3.88,3.88,3.83,3.85,73610.55,28360.318,3.853
20200820,3.83,3.84,3.76,3.77,72319.03,27468.367,3.798
20200821,3.77,3.8,3.75,3.78,45929.04,17316.717,3.77
20200824,3.8,3.8,3.75,3.77,34880.0,13115.951,3.76
20200825,3.75,3.78,3.7,3.73,57029.0,21268.751,3.729
20200826,3.74,3.75,3.61,3.63,57414.2,21062.182,3.668
20200827,3.66,3.71,3.6,3.63,47634.53,17442.513,3.662
20200828,3.64,3.74,3.62,3.72,67546.5,24825.681,3.675
20200831,3.72,3.77,3.66,3.74,76949.55,28442.311,3.696
20200901,3.7,3.74,3.69,3.73,45780.02,17025.349,3.719
20200902,3.76,3.76,3.7,3.71,41106.66,15271.45,3.715
20200903,3.71,3.85,3.7,3.72,63596.01,23785.826,3.74
20200904,3.69,3.71,3.64,3.69,40633.0,14946.095,3.678
20200907,3.7,3.71,3.62,3.63,65507.0,23939.318,3.654
20200908,3.64,3.68,3.61,3.65,32439.0,11818.469,3.643
20200909,3.63,3.64,3.56,3.62,62132.33,22351.468,3.597
20200910,3.62,3.63,3.45,3.46,65258.01,23139.551,3.546
20200911,3.46,3.54,3.39,3.51,56744.8,19678.847,3.468
20200914,3.51,3.53,3.48,3.5,31538.69,11062.629,3.508
20200915,3.5,3.52,3.44,3.46,41008.0,14229.256,3.47
20200916,3.45,3.54,3.39,3.47,63473.1,21870.089,3.446
20200917,3.46,3.48,3.41,3.45,37357.0,12878.832,3.448
20200918,3.46,3.48,3.44,3.47,37021.0,12831.816,3.466
20200921,3.48,3.49,3.45,3.46,27563.24,9558.978,3.468
20200922,3.43,3.46,3.41,3.43,32762.55,11246.929,3.433
20200923,3.43,3.46,3.42,3.45,25916.45,8909.381,3.438
20200924,3.41,3.43,3.3,3.33,65726.0,22092.806,3.361
20200925,3.33,3.36,3.28,3.31,33407.24,11068.185,3.313
20200928,3.29,3.31,3.14,3.14,82138.02,26204.163,3.19
20200929,3.15,3.3,3.1,3.29,113929.04,36903.576,3.239
20200930,3.27,3.35,3.19,3.23,53283.02,17240.677,3.236
20201009,3.27,3.34,3.25,3.3,47481.01,15630.63,3.292
20201012,3.32,3.47,3.31,3.47,100138.02,34386.701,3.434
20201013,3.47,3.48,3.34,3.45,92897.03,31687.531,3.411
20201014,3.43,3.43,3.37,3.39,33477.0,11357.094,3.393
20201015,3.5,3.56,3.49,3.56,45478.73,16127.764,3.546
20201016,3.71,3.71,3.56,3.58,162646.0,59228.024,3.642
20201019,3.58,3.67,3.51,3.65,87631.01,31786.831,3.627
20201020,3.62,3.83,3.62,3.79,155974.01,59191.001,3.795
20201021,3.74,3.82,3.69,3.75,104618.01,39223.737,3.749
20201022,3.75,3.75,3.66,3.7,64030.0,23738.309,3.707
20201023,3.7,3.82,3.68,3.73,71834.55,26871.108,3.741
20201026,3.78,3.85,3.71,3.77,85881.27,32456.524,3.779
20201027,3.76,3.76,3.63,3.66,67775.04,25006.187,3.69
20201028,3.64,3.76,3.54,3.68,80080.81,29189.806,3.645
20201029,3.6,3.8,3.6,3.72,87592.27,32627.509,3.725
20201030,3.73,3.9,3.72,3.81,191198.49,73544.466,3.846
20201102,3.81,3.95,3.79,3.91,150991.77,58772.003,3.892
20201103,3.91,3.98,3.86,3.91,132632.0,52013.6,3.922
20201104,3.89,3.97,3.86,3.91,103045.66,40270.574,3.908
20201105,3.94,4.11,3.92,4.07,197331.88,79682.137,4.038
20201106,4.06,4.09,3.92,3.95,161795.92,64654.214,3.996
20201109,3.95,3.99,3.88,3.93,141164.88,55410.593,3.925
20201110,3.95,3.95,3.73,3.77,147893.0,56634.707,3.829
20201111,3.78,3.96,3.78,3.96,141783.41,55456.256,3.911
20201112,4.02,4.08,3.92,3.99,135058.7,54014.048,3.999
20201113,4.04,4.11,4.0,4.03,101516.0,41077.427,4.046
20201116,4.03,4.13,4.0,4.09,82453.94,33564.991,4.071
20201117,4.09,4.29,4.07,4.26,192728.62,81374.905,4.222
20201118,4.22,4.32,4.13,4.2,132857.34,55703.222,4.193
20201119,4.2,4.29,4.09,4.13,123995.02,51775.807,4.176
20201120,4.19,4.34,4.16,4.34,330815.81,142419.233,4.305
20201123,4.47,4.56,4.39,4.56,215666.6,97682.891,4.529
20201124,4.64,4.79,4.43,4.46,481123.36,223967.802,4.655
20201125,4.39,4.68,4.39,4.57,246404.27,112030.111,4.547
20201126,4.55,4.64,4.34,4.36,305401.28,134311.791,4.398
20201127,4.35,4.46,4.18,4.34,203838.71,88294.009,4.332
20201130,4.32,4.32,4.18,4.24,140040.01,59529.351,4.251
20201201,4.2,4.33,4.18,4.29,141856.61,60661.273,4.276
20201202,4.26,4.45,4.21,4.4,169591.34,74114.664,4.37
20201203,4.4,4.54,4.28,4.39,179989.5,79239.899,4.402
20201204,4.35,4.48,4.33,4.4,123902.24,54643.871,4.41
