股票代码,股票简称,现价(元),涨跌幅(%),区间收盘价:前复权(元)2020.01.02-2020.12.09,加权净资产收益率(%)2020.09.30,区间开盘价:前复权(元)2020.01.02-2020.12.09,区间最高价:前复权(元)2020.01.02-2020.12.09,区间最低价:前复权(元)2020.01.02-2020.12.09,所属同花顺行业,预测净资产收益率(%)2022.12.31,预测净资产收益率(%)2021.12.31,预测净资产收益率(%)2020.12.31,净利润(元)2020.09.30,净资产(元)2020.09.30
002607.SZ,中公教育,37.14,0.351,37.13,42.35,17.64,43.58,14.18,信息服务-传媒-其他传媒,47.5532,49.0058,49.6829,1320893510.33,3299150320.94
300607.SZ,拓斯达,36.96,3.269,36.96,27.07,26.42222222,52.45,20.63888889,机械设备-通用设备-其它通用机械,19.4153,19.9575,26.4975,517788025.53,2166116101.19
002626.SZ,金达威,36.89,2.188,36.90,24.03,19.03,64.48,17.4,医药生物-化学制药-化学原料药,32.11,32.7,33.0667,794268001.8,3346089155.46
300571.SZ,平治信息,36.79,-2.748,36.80,19.59,54.83,70.54,36.76,信息服务-传媒-其他传媒,22.1375,24.2425,26.4625,173656075.66,1070824282.55
605068.SH,明新旭腾,36.61,-5.548,36.60,22.99,--,47.58,27.8,交运设备-汽车零部件-汽车零部件Ⅲ,14.54,13.17,12.36,159355481.09,772849920.46
300327.SZ,中颖电子,36.49,-3.262,36.48,15.02,23.45454545,41.41,23.26363636,电子-半导体及元件-集成电路,25.3083,22.9614,19.7543,150433601.97,1012798137.84
003001.SZ,中岩大地,36.21,-0.248,36.21,15.65,--,47.77,34.36,建筑材料-建筑装饰-专业工程,--,--,--,86416993.47,1266089127.21
300244.SZ,迪安诊断,35.86,-1.211,35.90,20.52,22.172,46.65,21.722,医药生物-医疗器械服务-医疗器械Ⅲ,15.6325,15.7711,20.2267,899354586.42,5988187796.83
688057.SH,金达莱,35.52,-0.309,35.51,24.66,--,48.48,35.14,公用事业-环保工程-环保工程及服务,--,--,--,307446518.7,1353069820.66
603238.SH,诺邦股份,35.36,0.798,35.37,21.92,17.16,48.5,17.15,纺织服装-纺织制造-其他纺织,20.8675,20.6,24.1425,215192052.32,1278646313.05
003019.SZ,宸展光电,35.35,-2.321,35.35,19.88,--,45.21,28.3,电子-光学光电子-显示器件Ⅲ,--,--,--,96668057.44,510438641.33
002271.SZ,东方雨虹,35.20,-2.116,35.16,17.83,17.53333333,42.21333333,16.1,建筑材料-建筑材料-其他建材,22.4875,22.8219,23.2393,2130331881.78,13396643664.85
